z_center,z_min,z_max,count,count_smooth,cumulative_fraction
0.125,0.0,0.25,34,65.64205569276395,0.009590973201692525
0.375,0.25,0.5,136,135.85307980088731,0.047954866008462625
0.625,0.5,0.75,236,203.76491762719104,0.11452750352609309
0.875,0.75,1.0,285,235.12012891512765,0.19492242595204515
1.125,1.0,1.25,220,225.3767317977045,0.25698166431593794
1.375,1.25,1.5,196,201.2749575494461,0.31227080394922424
1.625,1.5,1.75,167,186.47456093294738,0.35937940761636106
1.875,1.75,2.0,186,185.31141177477815,0.4118476727785614
2.125,2.0,2.25,198,186.49781882134826,0.46770098730606485
2.375,2.25,2.5,187,178.2541235417727,0.5204513399153737
2.625,2.5,2.75,160,160.00381981812833,0.5655853314527504
2.875,2.75,3.0,139,137.8298568473144,0.6047954866008463
3.125,3.0,3.25,109,118.28358500700162,0.635543018335684
3.375,3.25,3.5,101,107.55026240005951,0.664033850493653
3.625,3.5,3.75,95,108.2287448695959,0.6908321579689704
3.875,3.75,4.0,130,113.83382524314597,0.7275035260930889
4.125,4.0,4.25,118,112.71487126113273,0.760789844851904
4.375,4.25,4.5,103,102.11428472047251,0.7898448519040903
4.625,4.5,4.75,94,85.15797180149141,0.816361071932299
4.875,4.75,5.0,56,65.87315763822775,0.8321579689703809
5.125,5.0,5.25,48,50.043466826298356,0.8456981664315938
5.375,5.25,5.5,40,38.65790200116694,0.8569816643159379
5.625,5.5,5.75,23,31.091900070861275,0.8634696755994358
5.875,5.75,6.0,27,28.96935442182288,0.8710860366713681
6.125,6.0,6.25,31,31.461095241111863,0.8798307475317348
6.375,6.25,6.5,33,36.54974522738208,0.8891396332863187
6.625,6.5,6.75,47,41.998599390577766,0.9023977433004231
6.875,6.75,7.0,48,44.12764580846836,0.9159379407616361
7.125,7.0,7.25,43,41.65797432343227,0.9280677009873061
7.375,7.25,7.5,37,36.683613070208715,0.9385049365303244
7.625,7.5,7.75,28,31.701581388883074,0.9464033850493653
7.875,7.75,8.0,33,26.678910763421836,0.9557122708039493
8.125,8.0,8.25,17,20.369705722418207,0.9605077574047954
8.375,8.25,8.5,14,14.266779908010433,0.9644569816643159
8.625,8.5,8.75,8,9.898932865985042,0.9667136812411847
8.875,8.75,9.0,7,7.428939394404948,0.968688293370945
9.125,9.0,9.25,4,6.871683987715593,0.9698166431593794
9.375,9.25,9.5,10,7.555731262114047,0.9726375176304655
9.625,9.5,9.75,7,8.10760045199879,0.9746121297602257
9.875,9.75,10.0,10,8.214190533264924,0.9774330042313117
10.125,10.0,10.25,5,8.734960641172698,0.9788434414668548
10.375,10.25,10.5,12,10.169346218410642,0.982228490832158
10.625,10.5,10.75,13,11.011873792132178,0.9858956276445698
10.875,10.75,11.0,10,10.21964085331143,0.9887165021156559
11.125,11.0,11.25,9,8.334613916743931,0.9912552891396332
11.375,11.25,11.5,7,5.725024570094668,0.9932299012693935
11.625,11.5,11.75,0,3.2410336242550604,0.9932299012693935
11.875,11.75,12.0,3,2.0422304897896812,0.9940761636107194
12.125,12.0,12.25,0,2.0862802573942902,0.9940761636107194
12.375,12.25,12.5,4,2.7992337445572617,0.9952045133991537
12.625,12.5,12.75,4,3.353596011351667,0.9963328631875882
12.875,12.75,13.0,2,3.685707515209941,0.9968970380818054
13.125,13.0,13.25,6,3.8712593129983937,0.998589562764457
13.375,13.25,13.5,4,3.0926320704346746,0.9997179125528914
13.625,13.5,13.75,0,1.6737071435098987,0.9997179125528914
13.875,13.75,14.0,1,0.7237739718764689,1.0
14.125,14.0,14.25,0,0.2888475875795288,1.0
14.375,14.25,14.5,0,0.07989815571385228,1.0
14.625,14.5,14.75,0,0.01165580523578822,1.0
14.875,14.75,15.0,0,0.0008186540603447029,1.0
