scale_factor_a,redshift_z,radiation_term,matter_term,curvature_term,lambda_term,H_over_H0_squared,H_over_H0
0.0001,9999.0,919999999999.9998,314999999999.99994,-9200.0,0.685,1234999990800.6848,1111305.534405676
0.00010072647393820487,9926.876564144342,893744336273.3304,308233374048.2821,-9067.771442705554,0.685,1201977701254.5261,1096347.4363788727
0.00010145822552023864,9855.273307288648,868237976761.5826,301612104372.02606,-8937.443362733306,0.685,1169850072196.8503,1081596.0762673144
0.00010219529308680829,9784.186477723242,843459537247.9131,295133068521.88,-8808.988445151237,0.685,1138592596961.4895,1067048.5448007928
0.00010293771525715603,9713.612350797071,819388243794.6158,288793211122.92676,-8682.379767615826,0.685,1108181446235.8477,1052701.9740818613
0.0001036855309310828,9643.547228722542,796003915326.5096,282589542433.8337,-8557.590794729489,0.685,1078593449203.4375,1038553.5369943321
0.00010443877929098646,9573.98744038178,773286946711.3738,276519136936.9548,-8434.59537247913,0.685,1049806075214.4183,1024600.4466202513
0.00010519749980391477,9504.92934113427,751218292323.2467,270579131958.71915,-8313.367722754641,0.685,1021797415969.2832,1010839.9556652296
0.00010596173222363331,9436.3693126259,729779450074.8099,264766726319.65518,-8193.88243794616,0.685,994546168201.2677,997269.3558920115
0.00010673151659270844,9368.303762599367,708952445905.4644,259079179013.41406,-8076.114475618998,0.685,968031616843.449,983885.9775621609
0.00010750689324460526,9300.729124705967,688719818712.1017,253513807914.16986,-7960.039153265098,0.685,942233618666.9174,970687.1888857489
0.00010828790280580104,9233.641858318726,669064605709.9303,248067988511.78625,-7845.632143129933,0.685,917132586376.7694,957670.3954789296
0.0001090745861979138,9167.038448346884,649970328211.086,242739152674.15356,-7732.869467113739,0.685,892709473153.0552,944833.0398292892
0.00010986698463984655,9100.915405051719,631420977809.1017,237524787436.1118,-7621.727491746039,0.685,868945757624.171,932172.600768855
0.00011066513964994658,9035.269263863733,613401002957.6663,232422433814.39285,-7512.1829232324535,0.685,845823429260.5612,919686.5929546658
0.00011146909304818146,8970.096585201061,595895295932.3855,227429685648.01218,-7404.212802572563,0.685,823324974176.87,907372.5663567694
0.00011227888695832982,8905.393954289297,578889180164.663,222544188463.57773,-7297.794500748085,0.685,801433361331.1312,895228.1057535735
0.00011309456381018858,8841.157980982556,562368397937.0426,217763638364.9694,-7192.905713980124,0.685,780132029109.7913,883250.8302344194
