mass_Msun,mass_kg,schwarzschild_radius_km,schwarzschild_radius_AU,hawking_temperature_K,temperature_relative_to_CMB
1e-18,1988470000000.0,2.953339382066879e-18,1.9741854401052508e-26,61700738248.11396,22638318931.614002
1.0292128752353164e-18,2046558926019.1697,3.039614916962745e-18,2.0318570730584237e-26,59949442659.2816,21995759552.11213
1.0592791425501558e-18,2106344796586.7083,3.1284108082954103e-18,2.091213460229692e-26,58247855328.83509,21371438388.85896
1.0902237319808465e-18,2167877184331.9539,3.2198006829229596e-18,2.1523038181337964e-26,56594565352.204185,20764837773.69444
1.1220723018417842e-18,2231207110043.3325,3.3138603185557747e-18,2.215178801041434e-26,54988201871.51716,20175454731.79863
1.154851260000502e-18,2296387084973.198,3.4106677065890385e-18,2.2798905429801942e-26,53427432938.92854,19602800564.640816
1.1885877857742446e-18,2363471154378.512,3.510303116770747e-18,2.3464927009624525e-26,51910964412.20971,19046400444.76599
1.2233098524662888e-18,2432514942333.641,3.612849163759113e-18,2.415040499476249e-26,50437538881.682686,18505793022.08134
1.2590462505605301e-18,2503575697852.097,3.718390875624056e-18,2.4855907762757055e-26,49005934627.61567,17980530041.31927
1.295826611593648e-18,2576712342355.621,3.827015764349801e-18,2.558202029509101e-26,47614964607.2112,17470175970.358173
1.3336814327247362e-18,2651985518530.1562,3.938813898397341e-18,2.6329344662238843e-26,46263475470.3439,16974307639.091509
1.372642102022582e-18,2729457640608.8438,4.0538779773863534e-18,2.7098500522884476e-26,44950346603.23924,16492513888.548613
1.4127409244917218e-18,2809192946124.0537,4.1723034089589715e-18,2.789012563772388e-26,43674489199.29375,16024395229.973858
1.4540111488587241e-18,2891257549171.107,4.294188387888776e-18,2.870487639827601e-26,42434845356.27105,15569563513.583216
1.4964869951410932e-18,2975719495228.2095,4.419633977501116e-18,2.954342837114403e-26,41230387199.119385,15127641606.721478
1.5402036830214363e-18,3062648817577.6353,4.548744193471659e-18,3.040647685817402e-26,40060116027.68984,14698263081.155695
1.5851974610505164e-18,3152117595375.12,4.6816260900729164e-18,3.1294737472977396e-26,38923061488.645485,14281071909.244354
1.6315056367035256e-18,3244200013415.8594,4.8183898489406185e-18,3.220894673429746e-26,37818280770.87184,13875722168.729351
1.679166607314275e-18,3338972423646.2163,4.959148870432877e-18,3.314986267670772e-26,36744857823.72753,13481877755.908102
1.7282198919130568e-18,3436513408472.356,5.104019867658194e-18,3.411826547915026e-26,35701902597.48381,13099212106.946913
1.778706163994705e-18,3536903845918.551,5.2531229632506695e-18,3.5114958111838083e-26,34688550305.32049,12727407927.103464
1.8306672852437858e-18,3640226976688.7104,5.4065817889719314e-18,3.614076700205287e-26,33703960706.271873,12366156927.635984
1.8841463402449877e-18,3746568473186.9507,5.564523588222703e-18,3.7196542719392485e-26,32747317408.525322,12015159570.179903
1.939187672207643e-18,3856016510554.732,5.727079321549429e-18,3.828316068103922e-26,31817827192.492176,11674124818.379078
1.9958369197337248e-18,3968661839782.9194,5.89438377523266e-18,3.940152187762831e-26,30914719353.095135,11342769896.567652
2.0541410546599446e-18,4084597862959.66,6.0665756730476075e-18,4.055255362032107e-26,30037245060.723583,11020820055.30126
2.114148421005467e-18,4203920710716.7407,6.2437977912899526e-18,4.173721030970498e-26,29184676740.325417,10708008343.542624
2.175908775057259e-18,4326729321938.1074,6.426197077161503e-18,4.295647422715291e-26,28356307468.12458,10404075387.3141
2.239473326626437e-18,4453125525796.871,6.613924770614178e-18,4.4211356349299817e-26,27551450385.462063,10108769174.632935
2.304894781509994e-18,4583214126189.178,6.8071365297538994e-18,4.550289718631603e-26,26769438129.272114,9821844846.550034
2.372227385192797e-18,4717102988634.321,7.005992559907423e-18,4.68321676446657e-26,26009622278.725773,9543064494.120628
2.441526967826235e-18,4854903129713.434,7.210657746459552e-18,4.8200269915068737e-26,25271372817.580624,9272196961.137636
2.512850990521004e-18,4996728809121.301,7.421301791571445e-18,4.9608338386406233e-26,24554077611.78914,9009017652.463453
2.5862585929920353e-18,5142697624406.872,7.638099354892251e-18,5.1057540586319667e-26,23857141901.936634,8753308347.802837
2.6618106425953984e-18,5292930608481.672,7.861230198381735e-18,5.254907814929037e-26,23179987810.084286,8504857020.761066
