mass_Msun,mass_kg,schwarzschild_radius_km,hawking_temperature_K
1e-20,19884700000.0,2.953339382066878e-20,6170073824811.3955
1.0287561106209867e-20,20456506632.865135,3.0382659360389105e-20,5997606003124.454
1.0583391351400113e-20,21044756200.51858,3.125634647391595e-20,5829959055605.684
1.0887728523846168e-20,21649921537.81239,3.2155157430727765e-20,5666998227681.538
1.120081724968907e-20,22272489076.489223,3.307981469484075e-20,5508592531480.393
1.1522909189566584e-20,22912959236.177467,3.403106150552733e-20,5354614640544.149
1.185426324089725e-20,23571846826.626953,3.500966247472959e-20,5204940787483.629
1.2195145745982786e-20,24249681461.514393,3.601640420165633e-20,5059450664494.014
1.2545830706093221e-20,24947007984.145187,3.705209590504902e-20,4918027326651.819
1.290660000170981e-20,25664386905.399906,3.811757007363402e-20,4780557097914.254
1.3277743619099804e-20,26402394854.27139,3.9213683135274657e-20,4646929479746.732
1.3659559883407628e-20,27161625041.359566,4.03413161453686e-20,4517037062304.059
1.405235569844889e-20,27942687735.694664,4.1501375495041023e-20,4390775438094.3066
1.445644679339882e-20,28746210755.269753,4.269479363969918e-20,4268043118056.3726
1.4872157976576206e-20,29572839971.682487,4.3922529848542563e-20,4148741449982.795
1.5299823396523298e-20,30423239829.284683,4.518557097562049e-20,4032774539223.4204
1.5739786810595282e-20,31298093879.2644,4.648493225306787e-20,3920049171605.039
1.6192401861271508e-20,32198105329.082554,4.782165810714616e-20,3810474738506.0825
1.6658032360413566e-20,33123997607.711563,4.9196822997753857e-20,3703963164025.3413
1.7137052581697595e-20,34076514947.128216,5.061153228207837e-20,3600428834186.4844
1.7629847561454413e-20,35056422980.52525,5.2066923103079036e-20,3499788528121.7837
1.813681340816273e-20,36064509357.72935,5.3564165303525595e-20,3401961351178.9595
1.86583576208399e-20,37101584378.311516,5.510446236631414e-20,3306868669898.3164
1.9194899416590704e-20,38168481642.90812,5.668905238182988e-20,3214434048806.957
1.9746870067572737e-20,39266058723.26636,5.83192090431202e-20,3124583188980.1943
2.031471324765411e-20,40395197851.56277,5.999624266969262e-20,3037243868319.874
2.089888538903728e-20,41556806629.538956,6.172150126074587e-20,2952345883502.4614
2.149985604913958e-20,42751818758.03258,6.349637157869272e-20,2869820993549.546
2.211810828802393e-20,43981194787.48694,6.532228026384088e-20,2789602864975.6836
2.2754139056681122e-20,45245922890.03871,6.720069498112245e-20,2711627018469.734
2.340845959648036e-20,46547019653.8133,6.91331255998068e-20,2635830777066.2163
2.408159585010345e-20,47885530900.05521,7.112112540712882e-20,2562153215765.7607
2.477408888429892e-20,49262532523.76187,7.316629235682528e-20,2490535112563.435
2.5486495324789768e-20,50679131358.48471,7.5270270353565e-20,2420918900846.282
2.6219387803690685e-20,52136466066.004814,7.74347505743237e-20,2353248623121.1265
2.6973355419788164e-20,53635708051.586174,7.966147282774748e-20,2287469886036.096
2.7749004212058557e-20,55178062405.55208,8.195222695261223e-20,2223529816659.201
