repository,path,name,html_url,matched_query
swfiua/gotu,gotu/jwst.py,jwst.py,https://github.com/swfiua/gotu/blob/309007d7b644b06462d20055bfeebf661640359e/gotu/jwst.py,astroquery.mast JWST language:Python
spacetelescope/jwst_mast_query,jwst_mast_query/jwst_download.py,jwst_download.py,https://github.com/spacetelescope/jwst_mast_query/blob/7158c7870983089bec9244be80b52a2e7ed1c9f9/jwst_mast_query/jwst_download.py,astroquery.mast JWST language:Python
kevin218/Eureka,demos/JWST/download_data_JWST_template.py,download_data_JWST_template.py,https://github.com/kevin218/Eureka/blob/b238395f67552564a4dddbfa4bbe646a19481e38/demos/JWST/download_data_JWST_template.py,astroquery.mast JWST language:Python
1054/Crab.Toolkit.JWST,bin/go-jwst-query-by-dataset-name.py,go-jwst-query-by-dataset-name.py,https://github.com/1054/Crab.Toolkit.JWST/blob/5f5d9d35927ed12e1754df25f1cb3ebafd9ac9c6/bin/go-jwst-query-by-dataset-name.py,astroquery.mast JWST language:Python
jaimelop83/spacenet,scripts/download_jwst_fits.py,download_jwst_fits.py,https://github.com/jaimelop83/spacenet/blob/ee7c278b2e4094128b4bf3ce72fff8f05eca1e61/scripts/download_jwst_fits.py,astroquery.mast JWST language:Python
lcostant/JWSTools,download_jwst.py,download_jwst.py,https://github.com/lcostant/JWSTools/blob/b218a3b72d9ca9909664178137627430e642a2f3/download_jwst.py,astroquery.mast JWST language:Python
Jack3690/pydol,hpc/jwst_crowd.py,jwst_crowd.py,https://github.com/Jack3690/pydol/blob/287adc6a85e329cf931bbe2a9d4d2a1307f11082/hpc/jwst_crowd.py,astroquery.mast JWST language:Python
yuval-harpaz/astro,astro_jwst_links_ndays.py,astro_jwst_links_ndays.py,https://github.com/yuval-harpaz/astro/blob/2e0b49f3ef9a71f8801b515016af3e78bb22666a/astro_jwst_links_ndays.py,astroquery.mast JWST language:Python
StarGazer04/Project-Storage,jwst_image.py,jwst_image.py,https://github.com/StarGazer04/Project-Storage/blob/dbcbd62645c8a2a5048a54a42be9f2ba06282c4d/jwst_image.py,astroquery.mast JWST language:Python
rondilley/StarPattern_AI,src/star_pattern/data/mast.py,mast.py,https://github.com/rondilley/StarPattern_AI/blob/458a57790629c05a06cd51605e2946395bf0209d/src/star_pattern/data/mast.py,astroquery.mast JWST language:Python
