rank,repository,owner,name,description,html_url,clone_url,default_branch,language,stars,forks,watchers,open_issues,size_kb,archived,updated_at,created_at,matched_categories,matched_queries,category,interest_score
1,spacetelescope/jwst,spacetelescope,jwst,processing pipeline for James Webb Space Telescope imagery and spectroscopy,https://github.com/spacetelescope/jwst,https://github.com/spacetelescope/jwst.git,main,Python,655,191,655,407,110630,False,2026-07-09T22:28:46Z,2016-06-06T18:34:23Z,official_pipeline,JWST python || org:spacetelescope jwst python,official pipeline,68.612
2,spacetelescope/jdat_notebooks,spacetelescope,jdat_notebooks,JWST Data Analysis Tools Notebooks,https://github.com/spacetelescope/jdat_notebooks,https://github.com/spacetelescope/jdat_notebooks.git,main,Jupyter Notebook,132,94,132,17,2397678,False,2026-07-08T14:00:11Z,2020-03-20T14:15:04Z,notebooks,JDAT notebooks JWST || JWST notebook,science notebooks,54.18
3,spacetelescope/jwst-pipeline-notebooks,spacetelescope,jwst-pipeline-notebooks,JWST Calibration Pipeline Notebooks,https://github.com/spacetelescope/jwst-pipeline-notebooks,https://github.com/spacetelescope/jwst-pipeline-notebooks.git,main,Jupyter Notebook,41,30,41,3,359752,False,2026-06-11T01:20:37Z,2024-04-04T19:25:11Z,notebooks;pipeline_notebooks,JWST notebook || JWST pipeline notebooks,pipeline notebooks,48.393
4,spacetelescope/webbpsf,spacetelescope,webbpsf,James Webb Space Telescope PSF simulation tool,https://github.com/spacetelescope/webbpsf,https://github.com/spacetelescope/webbpsf.git,develop,Jupyter Notebook,134,62,134,8,115928,False,2026-06-17T16:37:43Z,2018-07-09T16:56:06Z,official_pipeline;psf,JWST PSF webbpsf || JWST python || org:spacetelescope jwst python,PSF modeling,48.375
5,PhangsTeam/pjpipe,PhangsTeam,pjpipe,"Pipeline for processing JWST imaging data, tailored for nearby galaxies. Built for PHANGS",https://github.com/PhangsTeam/pjpipe,https://github.com/PhangsTeam/pjpipe.git,main,Python,21,5,21,27,128695,False,2026-06-01T17:02:07Z,2022-07-20T13:26:48Z,imaging;nearby_galaxies;official_pipeline,JWST image processing python || JWST python || PHANGS JWST python,nearby galaxies,43.841
6,spacetelescope/jwst_validation_notebooks,spacetelescope,jwst_validation_notebooks,JWST Pipeline Validation Notebooks,https://github.com/spacetelescope/jwst_validation_notebooks,https://github.com/spacetelescope/jwst_validation_notebooks.git,master,Jupyter Notebook,5,25,5,11,2699963,False,2024-06-02T20:48:56Z,2019-02-06T19:10:40Z,notebooks;pipeline_notebooks;validation,JWST notebook || JWST pipeline notebooks || JWST validation notebooks,validation notebooks,43.123
7,spacetelescope/jwst_mast_query,spacetelescope,jwst_mast_query,Command line tool for querying MAST and downloading JWST data products,https://github.com/spacetelescope/jwst_mast_query,https://github.com/spacetelescope/jwst_mast_query.git,main,Python,21,13,21,16,225,False,2026-06-15T09:27:15Z,2021-08-23T15:00:45Z,mast_query;official_pipeline,JWST MAST query || JWST python || jwst_mast_query || org:spacetelescope jwst python,MAST search,42.189
8,spacetelescope/stpsf,spacetelescope,stpsf,Space Telescope PSF Simulation Tool,https://github.com/spacetelescope/stpsf,https://github.com/spacetelescope/stpsf.git,develop,Jupyter Notebook,18,16,18,47,153232,False,2026-06-30T14:10:07Z,2024-11-25T16:05:34Z,official_pipeline;psf,JWST python || STPSF JWST || org:spacetelescope jwst python,PSF modeling,40.828
9,kevin218/Eureka,kevin218,Eureka,Eureka! is a data reduction and analysis pipeline intended for time-series observations with JWST and HST.,https://github.com/kevin218/Eureka,https://github.com/kevin218/Eureka.git,main,Python,83,57,83,66,382510,False,2026-07-09T16:24:52Z,2020-07-30T15:32:42Z,exoplanet;official_pipeline,Eureka JWST || JWST python,exoplanet spectra,39.343
10,spacetelescope/stsynphot_refactor,spacetelescope,stsynphot_refactor,Synthetic photometry using Astropy for HST and JWST,https://github.com/spacetelescope/stsynphot_refactor,https://github.com/spacetelescope/stsynphot_refactor.git,master,Python,16,11,16,5,10128,False,2026-07-01T15:23:13Z,2013-08-27T17:09:25Z,official_pipeline,JWST python || org:spacetelescope jwst python,general JWST,34.856
11,spacetelescope/wss_tools,spacetelescope,wss_tools,Python tools for JWST Wavefront Sensing Software,https://github.com/spacetelescope/wss_tools,https://github.com/spacetelescope/wss_tools.git,main,Python,12,12,12,4,1828,False,2026-07-01T00:55:35Z,2016-06-27T17:10:51Z,official_pipeline,JWST python || org:spacetelescope jwst python,general JWST,33.402
