filename,status,bytes
jw05224004001_03101_00004_nrs2_s2d.fits,OK,31893120
jw05224004001_03101_00004_nrs2_x1d.fits,OK,6805440
jw05224004001_05101_00002_nrs1_s2d.fits,OK,36276480
jw05224004001_05101_00002_nrs1_x1d.fits,OK,7922880
jw05224004001_03101_00003_nrs1_s2d.fits,OK,36273600
jw05224004001_03101_00003_nrs1_x1d.fits,OK,7922880
jw05224004001_03101_00002_nrs2_s2d.fits,OK,31881600
jw05224004001_03101_00002_nrs2_x1d.fits,OK,6793920
jw05224004001_05101_00001_nrs1_s2d.fits,OK,36262080
jw05224004001_05101_00001_nrs1_x1d.fits,OK,7908480
jw05224004001_03101_00004_nrs1_s2d.fits,OK,36273600
jw05224004001_03101_00004_nrs1_x1d.fits,OK,7922880
jw05224004001_03101_00002_nrs1_s2d.fits,OK,36262080
jw05224004001_03101_00002_nrs1_x1d.fits,OK,7908480
jw05224004001_05101_00001_nrs2_s2d.fits,OK,31881600
jw05224004001_05101_00001_nrs2_x1d.fits,OK,6793920
jw05224004001_03101_00003_nrs2_s2d.fits,OK,31893120
jw05224004001_03101_00003_nrs2_x1d.fits,OK,6805440
jw05224004001_05101_00002_nrs2_s2d.fits,OK,31893120
jw05224004001_05101_00002_nrs2_x1d.fits,OK,6805440
jw05224004001_05101_00003_nrs2_s2d.fits,OK,31893120
jw05224004001_05101_00003_nrs2_x1d.fits,OK,6805440
jw05224004001_05101_00003_nrs1_s2d.fits,OK,36276480
jw05224004001_05101_00003_nrs1_x1d.fits,OK,7922880
jw05224004001_07101_00001_nrs2_s2d.fits,OK,31881600
jw05224004001_07101_00001_nrs2_x1d.fits,OK,6793920
jw05224004001_07101_00001_nrs1_s2d.fits,OK,36262080
jw05224004001_07101_00001_nrs1_x1d.fits,OK,7908480
jw05224004001_07101_00002_nrs2_s2d.fits,OK,31893120
jw05224004001_07101_00002_nrs2_x1d.fits,OK,6805440
jw05224004001_07101_00002_nrs1_s2d.fits,OK,36276480
jw05224004001_07101_00002_nrs1_x1d.fits,OK,7922880
jw05224004001_07101_00003_nrs1_s2d.fits,OK,36273600
jw05224004001_07101_00003_nrs1_x1d.fits,OK,7922880
jw05224004001_07101_00003_nrs2_s2d.fits,OK,31890240
jw05224004001_07101_00003_nrs2_x1d.fits,OK,6805440
jw05224-o004_s000277031_nirspec_clear-prism_s2d.fits,OK,673920
jw05224-o004_s000277031_nirspec_clear-prism_x1d.fits,OK,181440
jw05224-o004_s000277193_nirspec_clear-prism_s2d.fits,OK,673920
jw05224-o004_s000277193_nirspec_clear-prism_x1d.fits,OK,181440
