product,extensions,nearest_arcsec,status
jw05224004001_03101_00004_nrs2_x1d.fits,83,0.0,OK
jw05224004001_05101_00002_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_03101_00003_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_03101_00002_nrs2_x1d.fits,83,0.0,OK
jw05224004001_05101_00001_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_03101_00004_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_03101_00002_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_05101_00001_nrs2_x1d.fits,83,0.0,OK
jw05224004001_03101_00003_nrs2_x1d.fits,83,0.0,OK
jw05224004001_05101_00002_nrs2_x1d.fits,83,0.0,OK
jw05224004001_05101_00003_nrs2_x1d.fits,83,0.0,OK
jw05224004001_05101_00003_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_07101_00001_nrs2_x1d.fits,83,0.0,OK
jw05224004001_07101_00001_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_07101_00002_nrs2_x1d.fits,83,0.0,OK
jw05224004001_07101_00002_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_07101_00003_nrs1_x1d.fits,93,75.23351270370819,OK
jw05224004001_07101_00003_nrs2_x1d.fits,83,0.0,OK
jw05224-o004_s000277031_nirspec_clear-prism_x1d.fits,1,2.323034791793103,OK
jw05224-o004_s000277193_nirspec_clear-prism_x1d.fits,1,0.0,OK
