selected_family,nist_spectrum,element,ion_stage,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,nist_query_url,database,database_version
N III],N III,Nitrogen,N2+,,174.0814,,3.48e+06,1.58e-03,5.44e-02,-2.023,B,46.72429,53.84649,2s.2p.(3P*).4p,4D,5/2,2s.2p.(3P*).8d,4D*,5/2,6,6,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.0814,,2.13e+06,6.45e-04,2.22e-02,-2.412,B,46.72429,53.84649,2s.2p.(3P*).4p,4D,5/2,2s.2p.(3P*).8d,4D*,3/2,6,4,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.0814,,8.66e+05,5.25e-04,1.80e-02,-2.502,B,46.72429,53.84649,2s.2p.(3P*).4p,4D,5/2,2s.2p.(3P*).8d,4D*,7/2,6,8,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.2789,,6.16e+05,5.61e-04,6.44e-03,-2.950,C+,36.84205,43.95618,2s.2p.(3P*).3s,2P*,1/2,2s2.6d,2D,3/2,2,4,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.3497,,5.18e+06,2.36e-03,1.08e-01,-1.724,B,46.73525,53.84649,2s.2p.(3P*).4p,4D,7/2,2s.2p.(3P*).8d,4D*,7/2,8,8,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.3497,,1.15e+06,3.93e-04,1.80e-02,-2.502,B,46.73525,53.84649,2s.2p.(3P*).4p,4D,7/2,2s.2p.(3P*).8d,4D*,5/2,8,6,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.6234,,7.34e+05,5.03e-04,1.16e-02,-2.696,B,36.85609,43.95618,2s.2p.(3P*).3s,2P*,3/2,2s2.6d,2D,5/2,4,6,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.6234,,1.22e+05,5.58e-05,1.28e-03,-3.652,C,36.85609,43.95618,2s.2p.(3P*).3s,2P*,3/2,2s2.6d,2D,3/2,4,4,,T7192LS,,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,,174.6823,,9.49e+00,8.68e-09,9.99e-08,-7.760,C,0.00000,7.09770,2s2.2p,2P*,1/2,2s.2p2,4P,3/2,2,4,,"T6335n,T6079",,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
N III],N III,Nitrogen,N2+,174.7848,174.7848,570,1.28e+08,1.17e-01,1.35e+00,-0.630,B,18.08628,25.17981,2s.2p2,2P,1/2,2p3,2D*,3/2,2,4,,T6335n,L3513,https://physics.nist.gov/cgi-bin/ASD/lines1.pl?spectra=N+III&limits_type=0&low_w=174.000000&upp_w=176.000000&unit=1&submit=Retrieve+Data&de=0&format=3&line_out=0&en_unit=1&output=0&bibrefs=1&page_size=500&show_obs_wl=1&show_calc_wl=1&unc_out=1&order_out=0&show_av=2&A_out=0&f_out=on&S_out=on&loggf_out=on&intens_out=on&allowed_out=1&forbid_out=1&conf_out=on&term_out=on&enrg_out=on&J_out=on&g_out=on,NIST Standard Reference Database 78,5.12
