method,channel_index,frequency_GHz,velocity_km_s,flux,line_window
Model A fixed point template,0,279.8348145455,70.88899320973572,0.0005810578251497533,False
Model A fixed point template,1,279.839697743,65.65876616012257,-0.0008373763399632909,False
Model A fixed point template,2,279.84458094049995,60.42853911050943,-0.0009304634912425683,False
Model A fixed point template,3,279.849464138,55.198312060835406,-0.0009368631844783957,False
Model A fixed point template,4,279.8543473355,49.96808501116138,-0.0010906965542293585,False
Model A fixed point template,5,279.85923053299996,44.737857961548244,-1.1679685399720982e-05,False
Model A fixed point template,6,279.8641137305,39.507630911874216,5.062512328356001e-05,False
Model A fixed point template,7,279.868996928,34.27740386220019,-0.0013373026030014724,False
Model A fixed point template,8,279.8738801255,29.04717681252616,0.0028905579127198548,False
Model A fixed point template,9,279.87876332300004,23.816949762852133,0.0020474319143742154,True
Model A fixed point template,10,279.88364652050006,18.586722713178105,-0.0012782743452494924,True
Model A fixed point template,11,279.888529718,13.356495663625848,-0.0002153751086316542,True
Model A fixed point template,12,279.89341291549994,8.126268614012705,0.0009041085551266652,True
Model A fixed point template,13,279.89829611299996,2.896041564338679,0.002334514191570405,True
Model A fixed point template,14,279.9031793105,-2.334185485335347,-0.00045250230680307006,True
Model A fixed point template,15,279.908062508,-7.564412535009373,0.0013366371634158287,True
Model A fixed point template,16,279.91294570549996,-12.794639584622516,0.0017753084345445618,True
Model A fixed point template,17,279.917828903,-18.024866634296544,0.0017396798581540232,False
Model A fixed point template,18,279.9227121005,-23.255093683970568,0.00018331151996904462,False
Model A fixed point template,19,279.92759529799997,-28.485320733583713,-0.00038853098279632376,False
Model A fixed point template,20,279.9324784955,-33.71554778325773,0.000363970592263715,False
Model A fixed point template,21,279.937361693,-38.94577483293176,-0.0011001521528065284,False
Model A fixed point template,22,279.9422448905,-44.1760018825449,-0.0017187807043781153,False
Model A fixed point template,23,279.94712808799994,-49.40622893215805,3.977860769897572e-05,False
Model A fixed point template,24,279.95201128549996,-54.63645598183208,-0.0002298633107566824,False
Model A fixed point template,25,279.956894483,-59.8666830315061,-0.0009785651647118512,False
Model A fixed point template,26,279.9617776805,-65.09691008118013,-0.0008559761046404532,False
Model A fixed point template,27,279.96666087799997,-70.32713713079328,0.00022273596318647416,False
Fixed beam pixel mask,0,279.8348145455,70.88899320973572,0.0027976029086858034,False
Fixed beam pixel mask,1,279.839697743,65.65876616012257,-0.0006729479064233601,False
Fixed beam pixel mask,2,279.84458094049995,60.42853911050943,-0.002977927215397358,False
Fixed beam pixel mask,3,279.849464138,55.198312060835406,-0.002786032622680068,False
Fixed beam pixel mask,4,279.8543473355,49.96808501116138,-0.0026058503426611423,False
Fixed beam pixel mask,5,279.85923053299996,44.737857961548244,0.0013929209671914577,False
Fixed beam pixel mask,6,279.8641137305,39.507630911874216,-0.00026528004673309624,False
Fixed beam pixel mask,7,279.868996928,34.27740386220019,-0.0043066320940852165,False
Fixed beam pixel mask,8,279.8738801255,29.04717681252616,0.009309903718531132,False
Fixed beam pixel mask,9,279.87876332300004,23.816949762852133,0.007322957273572683,True
Fixed beam pixel mask,10,279.88364652050006,18.586722713178105,-0.004429680295288563,True
Fixed beam pixel mask,11,279.888529718,13.356495663625848,-0.0013270335039123893,True
Fixed beam pixel mask,12,279.89341291549994,8.126268614012705,0.0014202299062162638,True
Fixed beam pixel mask,13,279.89829611299996,2.896041564338679,0.006420909892767668,True
Fixed beam pixel mask,14,279.9031793105,-2.334185485335347,-0.0010047478135675192,True
Fixed beam pixel mask,15,279.908062508,-7.564412535009373,0.004512294661253691,True
Fixed beam pixel mask,16,279.91294570549996,-12.794639584622516,0.0041503612883389,True
Fixed beam pixel mask,17,279.917828903,-18.024866634296544,0.004207171965390444,False
Fixed beam pixel mask,18,279.9227121005,-23.255093683970568,0.0006140732439234853,False
Fixed beam pixel mask,19,279.92759529799997,-28.485320733583713,-0.0010148714063689113,False
Fixed beam pixel mask,20,279.9324784955,-33.71554778325773,-0.00010180805111303926,False
Fixed beam pixel mask,21,279.937361693,-38.94577483293176,-0.00039084296440705657,False
Fixed beam pixel mask,22,279.9422448905,-44.1760018825449,-0.005900735501199961,False
Fixed beam pixel mask,23,279.94712808799994,-49.40622893215805,0.0005655999411828816,False
Fixed beam pixel mask,24,279.95201128549996,-54.63645598183208,-0.002954697934910655,False
Fixed beam pixel mask,25,279.956894483,-59.8666830315061,-0.0047473362646996975,False
Fixed beam pixel mask,26,279.9617776805,-65.09691008118013,-0.0024211190175265074,False
Fixed beam pixel mask,27,279.96666087799997,-70.32713713079328,0.000831263605505228,False
Target-seeded mask,0,279.8348145455,70.88899320973572,0.0027976029086858034,False
Target-seeded mask,1,279.839697743,65.65876616012257,-0.0006729479064233601,False
Target-seeded mask,2,279.84458094049995,60.42853911050943,-0.002977927215397358,False
Target-seeded mask,3,279.849464138,55.198312060835406,-0.002786032622680068,False
Target-seeded mask,4,279.8543473355,49.96808501116138,-0.0026058503426611423,False
Target-seeded mask,5,279.85923053299996,44.737857961548244,0.0013929209671914577,False
Target-seeded mask,6,279.8641137305,39.507630911874216,-0.00026528004673309624,False
Target-seeded mask,7,279.868996928,34.27740386220019,-0.0043066320940852165,False
Target-seeded mask,8,279.8738801255,29.04717681252616,0.009309903718531132,False
Target-seeded mask,9,279.87876332300004,23.816949762852133,0.007322957273572683,True
Target-seeded mask,10,279.88364652050006,18.586722713178105,-0.004429680295288563,True
Target-seeded mask,11,279.888529718,13.356495663625848,-0.0013270335039123893,True
Target-seeded mask,12,279.89341291549994,8.126268614012705,0.0014202299062162638,True
Target-seeded mask,13,279.89829611299996,2.896041564338679,0.006420909892767668,True
Target-seeded mask,14,279.9031793105,-2.334185485335347,-0.0010047478135675192,True
Target-seeded mask,15,279.908062508,-7.564412535009373,0.004512294661253691,True
Target-seeded mask,16,279.91294570549996,-12.794639584622516,0.0041503612883389,True
Target-seeded mask,17,279.917828903,-18.024866634296544,0.004207171965390444,False
Target-seeded mask,18,279.9227121005,-23.255093683970568,0.0006140732439234853,False
