radius_pix,dx_pix,dy_pix,offset_arcsec,line_flux,peak_channel_flux,mask_pixels,peak_channel_SNR,line_SNR
18,18,0,1.008000000000288,-0.0012258082,0.0020000106,112,,-0.34917054
18,18,4,1.0325889792170984,0.0004867948,0.003379902,112,,0.13866314
18,17,7,1.0295474734079073,0.0014293087,0.003565233,112,,0.4071375
18,15,10,1.0095543571302055,0.0032426151,0.0027156197,112,,0.9236565
18,13,13,1.0295474734079073,0.0037300023,0.0017776623,112,,1.0624884
18,10,15,1.0095543571302055,0.001221086,0.0018065951,112,,0.34782544
18,7,17,1.0295474734079073,-0.0009928825,0.0018203789,112,,-0.28282183
18,4,18,1.0325889792170984,-0.0032737046,0.002334816,112,,-0.9325123
18,0,18,1.008000000000288,-0.0046405937,0.00093046523,112,,-1.3218696
18,-4,18,1.0325889792170984,-0.0007276521,0.0013559578,112,,-0.20727116
18,-7,17,1.0295474734079073,0.0039431998,0.0019935595,112,,1.1232175
18,-10,15,1.0095543571302055,0.0060999766,0.0021684496,112,,1.7375737
18,-13,13,1.0295474734079073,0.003788864,0.0010650193,112,,1.0792551
18,-15,10,1.0095543571302055,-0.00013551,0.000960883,112,,-0.03859992
18,-17,7,1.0295474734079073,-0.0018679972,0.0011449627,112,,-0.53209764
18,-18,4,1.0325889792170984,-0.0039668647,0.0003778062,112,,-1.1299584
18,-18,0,1.008000000000288,-0.00529694,0.0010338033,112,,-1.5088294
18,-18,-4,1.0325889792170984,-0.005037722,0.0016587771,112,,-1.4349914
18,-17,-7,1.0295474734079073,-0.0038562485,0.0018576506,112,,-1.0984495
18,-15,-10,1.0095543571302055,-0.0026283555,0.0024429848,112,,-0.7486851
18,-13,-13,1.0295474734079073,-0.0024368796,0.0027185152,112,,-0.6941433
18,-10,-15,1.0095543571302055,-0.0047555286,0.0015284708,112,,-1.3546088
18,-7,-17,1.0295474734079073,-0.0042414474,0.00096075254,112,,-1.2081732
18,-4,-18,1.0325889792170984,-0.0034697223,0.0013091033,112,,-0.9883478
18,0,-18,1.008000000000288,-7.3513947e-06,0.0013649515,112,,-0.0020940392
18,4,-18,1.0325889792170984,0.0013118896,0.0016287056,112,,0.37369078
18,7,-17,1.0295474734079073,0.005337473,0.0019329339,112,,1.5203753
18,10,-15,1.0095543571302055,0.009299772,0.002686166,112,,2.649033
18,13,-13,1.0295474734079073,0.007930839,0.0031254042,112,,2.2590938
18,15,-10,1.0095543571302055,0.0048761936,0.0024427306,112,,1.3889802
18,17,-7,1.0295474734079073,0.0025995406,0.0019678145,112,,0.7404772
18,18,-4,1.0325889792170984,0.0016280636,0.0022265858,112,,0.46375272
24,24,0,1.344000000000384,-0.00037975446,0.0015580258,112,,-0.108172774
24,24,5,1.3728568752790937,-0.003977807,0.0024309908,112,,-1.1330752
24,22,9,1.3311048042889082,-0.00019469415,0.0023370907,112,,-0.055458482
24,20,13,1.3358083694905567,0.0034000338,0.0019043369,112,,0.9684971
24,17,17,1.3463313113795712,0.004101541,0.0018270614,112,,1.1683209
24,13,20,1.3358083694905567,-0.00044832018,0.0014640483,112,,-0.12770367
24,9,22,1.3311048042889082,-0.0014648322,0.0021666544,112,,-0.41725636
24,5,24,1.3728568752790937,0.00090268673,0.0029037616,112,,0.25712964
24,0,24,1.344000000000384,0.0011208922,0.0013368302,112,,0.3192853
24,-5,24,1.3728568752790937,-0.0033249077,0.00042984344,112,,-0.9470975
24,-9,22,1.3311048042889082,-0.0030944278,0.0009238024,112,,-0.8814454
24,-13,20,1.3358083694905567,-0.0008821605,0.0016249436,112,,-0.25128275
24,-17,17,1.3463313113795712,-0.00078690145,0.0018929994,112,,-0.22414829
24,-20,13,1.3358083694905567,-0.0005795446,0.0023569777,112,,-0.16508284
24,-22,9,1.3311048042889082,-0.0008562908,0.0015580412,112,,-0.2439138
